"","inegi.code","year","indicator","value","state","code","region","inegi leading","state long","state caps","state caps sa","state.new","state.new.long"
"140",1,2008,"total population",1153468,"Aguascalientes","AGU","Central",1,"Aguascalientes","AGUASCALIENTES","AGUASCALIENTES","Aguascalientes","Aguascalientes"
"141",1,2009,"total population",1176168,"Aguascalientes","AGU","Central",1,"Aguascalientes","AGUASCALIENTES","AGUASCALIENTES","Aguascalientes","Aguascalientes"
"142",1,2010,"total population",1198510,"Aguascalientes","AGU","Central",1,"Aguascalientes","AGUASCALIENTES","AGUASCALIENTES","Aguascalientes","Aguascalientes"
"143",1,2011,"total population",1223425,"Aguascalientes","AGU","Central",1,"Aguascalientes","AGUASCALIENTES","AGUASCALIENTES","Aguascalientes","Aguascalientes"
"144",1,2012,"total population",1250962,"Aguascalientes","AGU","Central",1,"Aguascalientes","AGUASCALIENTES","AGUASCALIENTES","Aguascalientes","Aguascalientes"
"145",1,2013,"total population",1278202,"Aguascalientes","AGU","Central",1,"Aguascalientes","AGUASCALIENTES","AGUASCALIENTES","Aguascalientes","Aguascalientes"
"146",1,2014,"total population",1305273,"Aguascalientes","AGU","Central",1,"Aguascalientes","AGUASCALIENTES","AGUASCALIENTES","Aguascalientes","Aguascalientes"
"147",1,2015,"total population",1331825,"Aguascalientes","AGU","Central",1,"Aguascalientes","AGUASCALIENTES","AGUASCALIENTES","Aguascalientes","Aguascalientes"
"148",1,2016,"total population",1355321,"Aguascalientes","AGU","Central",1,"Aguascalientes","AGUASCALIENTES","AGUASCALIENTES","Aguascalientes","Aguascalientes"
"149",1,2017,"total population",1375782,"Aguascalientes","AGU","Central",1,"Aguascalientes","AGUASCALIENTES","AGUASCALIENTES","Aguascalientes","Aguascalientes"
"150",1,2018,"total population",1395794,"Aguascalientes","AGU","Central",1,"Aguascalientes","AGUASCALIENTES","AGUASCALIENTES","Aguascalientes","Aguascalientes"
"151",1,2019,"total population",1415421,"Aguascalientes","AGU","Central",1,"Aguascalientes","AGUASCALIENTES","AGUASCALIENTES","Aguascalientes","Aguascalientes"
"152",1,2020,"total population",1434635,"Aguascalientes","AGU","Central",1,"Aguascalientes","AGUASCALIENTES","AGUASCALIENTES","Aguascalientes","Aguascalientes"
"153",1,2021,"total population",1453452,"Aguascalientes","AGU","Central",1,"Aguascalientes","AGUASCALIENTES","AGUASCALIENTES","Aguascalientes","Aguascalientes"
"154",1,2022,"total population",1471859,"Aguascalientes","AGU","Central",1,"Aguascalientes","AGUASCALIENTES","AGUASCALIENTES","Aguascalientes","Aguascalientes"
"155",1,2023,"total population",1489875,"Aguascalientes","AGU","Central",1,"Aguascalientes","AGUASCALIENTES","AGUASCALIENTES","Aguascalientes","Aguascalientes"
"156",1,2024,"total population",1507474,"Aguascalientes","AGU","Central",1,"Aguascalientes","AGUASCALIENTES","AGUASCALIENTES","Aguascalientes","Aguascalientes"
"157",1,2025,"total population",1524644,"Aguascalientes","AGU","Central",1,"Aguascalientes","AGUASCALIENTES","AGUASCALIENTES","Aguascalientes","Aguascalientes"
"158",1,2026,"total population",1541405,"Aguascalientes","AGU","Central",1,"Aguascalientes","AGUASCALIENTES","AGUASCALIENTES","Aguascalientes","Aguascalientes"
"159",1,2027,"total population",1557754,"Aguascalientes","AGU","Central",1,"Aguascalientes","AGUASCALIENTES","AGUASCALIENTES","Aguascalientes","Aguascalientes"
"160",1,2028,"total population",1573657,"Aguascalientes","AGU","Central",1,"Aguascalientes","AGUASCALIENTES","AGUASCALIENTES","Aguascalientes","Aguascalientes"
"161",1,2029,"total population",1589095,"Aguascalientes","AGU","Central",1,"Aguascalientes","AGUASCALIENTES","AGUASCALIENTES","Aguascalientes","Aguascalientes"
"162",1,2030,"total population",1604083,"Aguascalientes","AGU","Central",1,"Aguascalientes","AGUASCALIENTES","AGUASCALIENTES","Aguascalientes","Aguascalientes"
"163",1,2031,"total population",1618605,"Aguascalientes","AGU","Central",1,"Aguascalientes","AGUASCALIENTES","AGUASCALIENTES","Aguascalientes","Aguascalientes"
"164",1,2032,"total population",1632634,"Aguascalientes","AGU","Central",1,"Aguascalientes","AGUASCALIENTES","AGUASCALIENTES","Aguascalientes","Aguascalientes"
"165",1,2033,"total population",1646181,"Aguascalientes","AGU","Central",1,"Aguascalientes","AGUASCALIENTES","AGUASCALIENTES","Aguascalientes","Aguascalientes"
"166",1,2034,"total population",1659245,"Aguascalientes","AGU","Central",1,"Aguascalientes","AGUASCALIENTES","AGUASCALIENTES","Aguascalientes","Aguascalientes"
"167",1,2035,"total population",1671788,"Aguascalientes","AGU","Central",1,"Aguascalientes","AGUASCALIENTES","AGUASCALIENTES","Aguascalientes","Aguascalientes"
"168",1,2036,"total population",1683818,"Aguascalientes","AGU","Central",1,"Aguascalientes","AGUASCALIENTES","AGUASCALIENTES","Aguascalientes","Aguascalientes"
"169",1,2037,"total population",1695348,"Aguascalientes","AGU","Central",1,"Aguascalientes","AGUASCALIENTES","AGUASCALIENTES","Aguascalientes","Aguascalientes"
"170",1,2038,"total population",1706347,"Aguascalientes","AGU","Central",1,"Aguascalientes","AGUASCALIENTES","AGUASCALIENTES","Aguascalientes","Aguascalientes"
"171",1,2039,"total population",1716843,"Aguascalientes","AGU","Central",1,"Aguascalientes","AGUASCALIENTES","AGUASCALIENTES","Aguascalientes","Aguascalientes"
"172",1,2040,"total population",1726803,"Aguascalientes","AGU","Central",1,"Aguascalientes","AGUASCALIENTES","AGUASCALIENTES","Aguascalientes","Aguascalientes"
"173",1,2041,"total population",1736240,"Aguascalientes","AGU","Central",1,"Aguascalientes","AGUASCALIENTES","AGUASCALIENTES","Aguascalientes","Aguascalientes"
"174",1,2042,"total population",1745145,"Aguascalientes","AGU","Central",1,"Aguascalientes","AGUASCALIENTES","AGUASCALIENTES","Aguascalientes","Aguascalientes"
"175",1,2043,"total population",1753515,"Aguascalientes","AGU","Central",1,"Aguascalientes","AGUASCALIENTES","AGUASCALIENTES","Aguascalientes","Aguascalientes"
"176",1,2044,"total population",1761344,"Aguascalientes","AGU","Central",1,"Aguascalientes","AGUASCALIENTES","AGUASCALIENTES","Aguascalientes","Aguascalientes"
"177",1,2045,"total population",1768641,"Aguascalientes","AGU","Central",1,"Aguascalientes","AGUASCALIENTES","AGUASCALIENTES","Aguascalientes","Aguascalientes"
"178",1,2046,"total population",1775433,"Aguascalientes","AGU","Central",1,"Aguascalientes","AGUASCALIENTES","AGUASCALIENTES","Aguascalientes","Aguascalientes"
"179",1,2047,"total population",1781677,"Aguascalientes","AGU","Central",1,"Aguascalientes","AGUASCALIENTES","AGUASCALIENTES","Aguascalientes","Aguascalientes"
"180",1,2048,"total population",1787388,"Aguascalientes","AGU","Central",1,"Aguascalientes","AGUASCALIENTES","AGUASCALIENTES","Aguascalientes","Aguascalientes"
"181",1,2049,"total population",1792570,"Aguascalientes","AGU","Central",1,"Aguascalientes","AGUASCALIENTES","AGUASCALIENTES","Aguascalientes","Aguascalientes"
"182",1,2050,"total population",1797232,"Aguascalientes","AGU","Central",1,"Aguascalientes","AGUASCALIENTES","AGUASCALIENTES","Aguascalientes","Aguascalientes"
"183",2,1970,"total population",906634,"Baja California","BCN","North",2,"Baja California","BAJA CALIFORNIA","BAJA CALIFORNIA","Baja California","Baja California"
"184",2,1971,"total population",932591,"Baja California","BCN","North",2,"Baja California","BAJA CALIFORNIA","BAJA CALIFORNIA","Baja California","Baja California"
"185",2,1972,"total population",959240,"Baja California","BCN","North",2,"Baja California","BAJA CALIFORNIA","BAJA CALIFORNIA","Baja California","Baja California"
"186",2,1973,"total population",986279,"Baja California","BCN","North",2,"Baja California","BAJA CALIFORNIA","BAJA CALIFORNIA","Baja California","Baja California"
"187",2,1974,"total population",1013710,"Baja California","BCN","North",2,"Baja California","BAJA CALIFORNIA","BAJA CALIFORNIA","Baja California","Baja California"
"188",2,1975,"total population",1041542,"Baja California","BCN","North",2,"Baja California","BAJA CALIFORNIA","BAJA CALIFORNIA","Baja California","Baja California"
"189",2,1976,"total population",1069560,"Baja California","BCN","North",2,"Baja California","BAJA CALIFORNIA","BAJA CALIFORNIA","Baja California","Baja California"
"190",2,1977,"total population",1097635,"Baja California","BCN","North",2,"Baja California","BAJA CALIFORNIA","BAJA CALIFORNIA","Baja California","Baja California"
"191",2,1978,"total population",1125813,"Baja California","BCN","North",2,"Baja California","BAJA CALIFORNIA","BAJA CALIFORNIA","Baja California","Baja California"
"192",2,1979,"total population",1154068,"Baja California","BCN","North",2,"Baja California","BAJA CALIFORNIA","BAJA CALIFORNIA","Baja California","Baja California"
"193",2,1980,"total population",1187841,"Baja California","BCN","North",2,"Baja California","BAJA CALIFORNIA","BAJA CALIFORNIA","Baja California","Baja California"
